panel,scenario,country,season,start_hour,metric,value,unit,eact_value,static_value
d,adverse_bias,IRL,Q1,336,total_energy_increase_pct,1.22171482196,%,1410.16457898,1393.14432823
d,adverse_bias,IRL,Q2,2496,total_energy_increase_pct,-0.165343631023,%,1614.96163023,1617.6362888
d,adverse_bias,IRL,Q3,4680,total_energy_increase_pct,0.267687470397,%,1529.24486341,1525.16219531
d,adverse_bias,IRL,Q4,6888,total_energy_increase_pct,0.533394830972,%,1439.69157451,1432.05307741
d,adverse_bias,JPN,Q1,336,total_energy_increase_pct,0.234889359142,%,1393.23567964,1389.97078616
d,adverse_bias,JPN,Q2,2496,total_energy_increase_pct,-0.633231164969,%,1681.44951399,1692.16482905
d,adverse_bias,JPN,Q3,4680,total_energy_increase_pct,0.292051892908,%,1693.12909045,1688.19867427
d,adverse_bias,JPN,Q4,6888,total_energy_increase_pct,-0.231947191689,%,1520.31079466,1523.84531107
d,adverse_bias,KOR,Q1,336,total_energy_increase_pct,0.16301701782,%,1351.47723289,1349.27768065
d,adverse_bias,KOR,Q2,2496,total_energy_increase_pct,0.0864304303711,%,1611.72287279,1610.33105673
d,adverse_bias,KOR,Q3,4680,total_energy_increase_pct,-0.835469483525,%,1655.80625372,1669.75656023
d,adverse_bias,KOR,Q4,6888,total_energy_increase_pct,-0.276320511993,%,1503.81234304,1507.97919888
d,adverse_bias,MYS,Q1,336,total_energy_increase_pct,0.245915320036,%,1601.1595623,1597.23172479
d,adverse_bias,MYS,Q2,2496,total_energy_increase_pct,0.498803101201,%,1923.15415996,1913.60901883
d,adverse_bias,MYS,Q3,4680,total_energy_increase_pct,0.553011383441,%,1756.49028567,1746.83011627
d,adverse_bias,MYS,Q4,6888,total_energy_increase_pct,0.525113544393,%,1647.39003883,1638.78455914
d,adverse_bias,NLD,Q1,336,total_energy_increase_pct,0.177802809967,%,1371.25253751,1368.81873933
d,adverse_bias,NLD,Q2,2496,total_energy_increase_pct,0.139082711361,%,1611.88847015,1609.64972567
d,adverse_bias,NLD,Q3,4680,total_energy_increase_pct,0.321591507089,%,1569.21514516,1564.1848595
d,adverse_bias,NLD,Q4,6888,total_energy_increase_pct,0.841706765872,%,1441.86814212,1429.83313984
d,adverse_bias,NOR,Q1,336,total_energy_increase_pct,0.150458965047,%,1348.02746207,1346.00228097
d,adverse_bias,NOR,Q2,2496,total_energy_increase_pct,0.267043306655,%,1600.46733254,1596.20477453
